"","year","violent","murder","robbery","prisoners","state"
"1041",1982,126.9,2.3,23.1,76,"Vermont"
"1042",1983,132.6,3.6,27.8,84,"Vermont"
"1043",1984,145.1,2.3,23,72,"Vermont"
"1044",1985,147.7,3.4,20.9,74,"Vermont"
"1045",1986,149.2,2,22.2,82,"Vermont"
"1046",1987,136.5,2.7,16.8,81,"Vermont"
"1047",1988,142.3,2,16,91,"Vermont"
"1048",1989,132.8,1.9,18,98,"Vermont"
"1049",1990,127.2,2.3,11.7,109,"Vermont"
"1050",1991,116.8,2.1,11.8,117,"Vermont"
"1051",1992,109.5,2.1,8.9,124,"Vermont"
"1052",1993,114.2,3.6,9,151,"Vermont"
"1053",1994,96.9,1,12.2,154,"Vermont"
"1054",1995,118.3,2.2,10.9,168,"Vermont"
"1055",1996,121.2,1.9,15.4,179,"Vermont"
"1056",1997,119.7,1.5,13.4,136,"Vermont"
"1057",1998,106.3,2.2,9.5,140,"Vermont"
"1058",1999,113.8,2.9,10.9,188,"Vermont"
"1059",1977,290,9,92.1,126,"Virginia"
"1060",1978,286.4,8.8,97.1,142,"Virginia"
"1061",1979,301,8.6,111.6,157,"Virginia"
"1062",1980,307.2,8.6,120.1,158,"Virginia"
"1063",1981,321.7,8.6,133.2,161,"Virginia"
"1064",1982,309.1,7.4,122.2,165,"Virginia"
"1065",1983,292.5,7,110.5,177,"Virginia"
"1066",1984,295.6,7.7,102.3,177,"Virginia"
"1067",1985,294.7,7.1,100.2,185,"Virginia"
"1068",1986,306,7.1,105.7,204,"Virginia"
"1069",1987,295,7.4,105.8,215,"Virginia"
"1070",1988,299.2,7.8,112.5,217,"Virginia"
"1071",1989,312.5,7.9,106.5,230,"Virginia"
"1072",1990,350.6,8.8,123.3,263,"Virginia"
"1073",1991,373.2,9.3,137.6,279,"Virginia"
"1074",1992,374.9,8.8,137.8,311,"Virginia"
"1075",1993,372.2,8.3,142,327,"Virginia"
"1076",1994,357.7,8.7,132.8,346,"Virginia"
"1077",1995,361.5,7.6,131.7,406,"Virginia"
"1078",1996,341.3,7.5,122.6,410,"Virginia"
"1079",1997,345.2,7.2,124.5,404,"Virginia"
"1080",1998,325.7,6.2,105.6,407,"Virginia"
"1081",1999,314.7,5.7,101.1,399,"Virginia"
"1082",1977,374.9,4.3,106.2,109,"Washington"
"1083",1978,405.3,4.6,125,118,"Washington"
"1084",1979,434.6,4.8,120.7,112,"Washington"
"1085",1980,464.3,5.5,135.1,113,"Washington"
"1086",1981,447.3,5.1,130,106,"Washington"
"1087",1982,406.4,4.4,117.9,125,"Washington"
"1088",1983,371.8,4.9,105.4,148,"Washington"
"1089",1984,406.4,4.6,120.6,155,"Washington"
"1090",1985,425.4,5.2,132,156,"Washington"
"1091",1986,437,5,135.1,156,"Washington"
"1092",1987,439.5,5.6,141.4,147,"Washington"
"1093",1988,466.4,5.7,145.9,134,"Washington"
"1094",1989,471.7,4.4,140.1,124,"Washington"
"1095",1990,501.6,4.9,130,142,"Washington"
"1096",1991,522.6,4.2,145.5,162,"Washington"
"1097",1992,534.5,5,139.8,182,"Washington"
"1098",1993,514.6,5.2,137.1,192,"Washington"
"1099",1994,511.3,5.5,139.7,196,"Washington"
"1100",1995,484.3,5.1,132.7,201,"Washington"
"1101",1996,431.2,4.6,119,212,"Washington"
"1102",1997,440.7,4.3,120,225,"Washington"
"1103",1998,428.5,3.9,115.6,233,"Washington"
"1104",1999,377.3,3,100.9,247,"Washington"
"1105",1977,152.3,6,42.2,71,"West Virginia"
"1106",1978,167.7,6.8,46.3,67,"West Virginia"
"1107",1979,168.1,6.8,43.9,63,"West Virginia"
"1108",1980,183.7,7.1,48.5,66,"West Virginia"
"1109",1981,174.8,6,50.2,64,"West Virginia"
"1110",1982,174.8,5.2,49.8,80,"West Virginia"
"1111",1983,171.8,4.9,44.2,77,"West Virginia"
"1112",1984,168.2,4.4,38.1,83,"West Virginia"
"1113",1985,166,3.8,37.6,82,"West Virginia"
"1114",1986,164.5,5.9,41,89,"West Virginia"
"1115",1987,137.3,4.8,31.2,77,"West Virginia"
"1116",1988,131.4,4.9,34.2,77,"West Virginia"
"1117",1989,146.7,6.5,42.7,78,"West Virginia"
"1118",1990,169.3,5.7,37.9,84,"West Virginia"
"1119",1991,191,6.2,43.3,85,"West Virginia"
"1120",1992,211.5,6.3,43.5,83,"West Virginia"
"1121",1993,208.4,6.9,43,92,"West Virginia"
"1122",1994,215.8,5.4,42.4,98,"West Virginia"
"1123",1995,210.2,4.9,42.7,106,"West Virginia"
"1124",1996,210.1,3.8,40.4,136,"West Virginia"
"1125",1997,218.7,4.1,43.1,149,"West Virginia"
"1126",1998,248.6,4.3,37.3,174,"West Virginia"
"1127",1999,350.6,4.4,36.6,192,"West Virginia"
"1128",1977,131.5,2.8,52.2,71,"Wisconsin"
"1129",1978,132.2,2.5,49.9,72,"Wisconsin"
"1130",1979,166.1,3.4,60.5,73,"Wisconsin"
"1131",1980,182.6,2.9,70.7,73,"Wisconsin"
"1132",1981,187.9,3.4,68.6,85,"Wisconsin"
"1133",1982,190.5,3.1,71.2,93,"Wisconsin"
"1134",1983,190.9,2.8,71.9,96,"Wisconsin"
"1135",1984,196.5,2.5,66.4,102,"Wisconsin"
"1136",1985,206.9,2.8,70.2,105,"Wisconsin"
"1137",1986,257.9,3.1,72.8,113,"Wisconsin"
"1138",1987,249.9,3.5,66.4,119,"Wisconsin"
"1139",1988,214.4,3,67.1,126,"Wisconsin"
"1140",1989,222.6,3.6,75.2,130,"Wisconsin"
"1141",1990,264.7,4.6,112.7,138,"Wisconsin"
"1142",1991,277,4.8,119,149,"Wisconsin"
"1143",1992,275.7,4.4,119.8,157,"Wisconsin"
"1144",1993,264.4,4.4,113.4,176,"Wisconsin"
"1145",1994,270.5,4.5,112.9,166,"Wisconsin"
"1146",1995,281.1,4.3,105.1,187,"Wisconsin"
"1147",1996,252.7,4,96.6,201,"Wisconsin"
"1148",1997,270.6,4,100.9,238,"Wisconsin"
"1149",1998,249,3.6,85.6,283,"Wisconsin"
"1150",1999,245.9,3.4,84.7,334,"Wisconsin"
"1151",1977,240.9,5.4,39.7,87,"Wyoming"
"1152",1978,280.4,7.1,48.1,98,"Wyoming"
"1153",1979,350.9,9.1,42.2,102,"Wyoming"
"1154",1980,392.6,6.2,44.4,95,"Wyoming"
"1155",1981,430.1,5.5,41.9,113,"Wyoming"
"1156",1982,304.2,9.2,34.3,117,"Wyoming"
"1157",1983,237.2,5.8,29.8,135,"Wyoming"
"1158",1984,242.1,3.3,23.1,138,"Wyoming"
"1159",1985,256.8,4.3,20,143,"Wyoming"
"1160",1986,293.1,5.3,22.5,148,"Wyoming"
"1161",1987,283.1,2,20,168,"Wyoming"
"1162",1988,314,2.5,15.1,190,"Wyoming"
"1163",1989,258.3,4.4,17.1,199,"Wyoming"
"1164",1990,301.4,4.9,15.9,216,"Wyoming"
"1165",1991,310.2,3.3,17.2,237,"Wyoming"
"1166",1992,319.5,3.6,18,237,"Wyoming"
"1167",1993,286.2,3.4,17.2,226,"Wyoming"
"1168",1994,272.5,3.4,16.6,238,"Wyoming"
"1169",1995,254.2,2.1,17.9,254,"Wyoming"
"1170",1996,249.7,3.3,20.4,289,"Wyoming"
"1171",1997,255.2,3.5,17.7,310,"Wyoming"
"1172",1998,247.6,4.8,16.2,326,"Wyoming"
"1173",1999,232.3,2.3,15.4,327,"Wyoming"
